facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
610;Tonvägen 22;Perstorp;District heating;67841473;ELV;12035928;CMi2110;07190000417147;NULL;NULL;OK;OK;+1
611;Sångvägen 20;Perstorp;District heating;67606292;ELV;12031516;CMi2110;07190000355164;NULL;NULL;OK;OK;+1
612;Oderljungavägen 49;Perstorp;District heating;67841384;ELV;12035343;CMi2110;07190000417006;NULL;NULL;OK;OK;+1
613;Ekvägen 04;Perstorp;District heating;67970000;ELV;12037308;CMi2110;07190000426115;NULL;NULL;OK;OK;+1
614;Hässleholmsvägen 55;Perstorp;District heating;67970005;ELV;12037329;CMi2110;07190000426135;NULL;NULL;OK;OK;+1
615;Spjutserödsvägen 41;Perstorp;District heating;67841372;ELV;12036149;CMi2110;07190000417136;NULL;NULL;OK;OK;+1
616;Notvägen 14;Perstorp;District heating;67841411;ELV;12036157;CMi2110;07190000417129;NULL;NULL;OK;OK;+1
617;Arons väg 03;Perstorp;District heating;67841470;ELV;12036141;CMi2110;07190000417144;NULL;NULL;OK;OK;+1
618;Ekvägen 06;Perstorp;District heating;67970029;ELV;12036904;CMi2110;07190000426250;NULL;NULL;OK;OK;+1
619;Hantverksgatan 21;Perstorp;District heating;67970091;ELV;12037327;CMi2110;07190000426130;NULL;NULL;OK;OK;+1
620;Skarvrörsgatan 17;Perstorp;District heating;68140039;ELV;12041001;CMi2110;07190000502464;NULL;NULL;OK;OK;+1
621;Skarvrörsgatan 11;Perstorp;District heating;68140018;ELV;12041765;CMi2110;07190000502374;NULL;NULL;OK;OK;+1
622;Alvägen 17;Perstorp;District heating;67841392;ELV;12035362;CMi2110;07190000417060;NULL;NULL;OK;OK;+1
623;Ugglestigen 09;Perstorp;District heating;67190482;ELV;12022366;CMi2110;07190000389033;NULL;NULL;OK;OK;+1
624;Parkvägen 40;Perstorp;District heating;67606200;ELV;12032022;CMi2110;07190000355027;NULL;NULL;OK;OK;+1
625;Falkvägen 05;Perstorp;District heating;67841386;ELV;12036131;CMi2110;07190000417138;NULL;NULL;OK;OK;+1
626;Sångvägen 10;Perstorp;District heating;67841420;ELV;12036097;CMi2110;07190000417108;NULL;NULL;OK;OK;+1
627;Blinkefyrvägen 02;Perstorp;District heating;67841489;ELV;12035342;CMi2110;07190000417007;NULL;NULL;OK;OK;+1
628;Lärkvägen 09;Perstorp;District heating;67841388;ELV;12036173;CMi2110;07190000417114;NULL;NULL;OK;OK;+1
629;Fasanvägen 33;Perstorp;District heating;67970126;ELV;12036897;CMi2110;07190000426236;NULL;NULL;OK;OK;+1
630;Snickaregatan 1;Perstorp;District heating;67606263;ELV;12031837;CMi2110;07190000355153;NULL;NULL;OK;OK;+1
631;Klövergatan 13;Perstorp;District heating;67970136;ELV;12036868;CMi2110;07190000426214;NULL;NULL;OK;OK;+1
632;Stensmöllavägen 21;Perstorp;District heating;67970094;ELV;12036881;CMi2110;07190000426238;NULL;NULL;OK;OK;+1
633;Parkvägen 22;Perstorp;District heating;67841430;ELV;12036120;CMi2110;07190000417092;NULL;NULL;OK;OK;+1
634;Tjäderstigen 14;Perstorp;District heating;67841375;ELV;12036154;CMi2110;07190000417132;NULL;NULL;OK;OK;+1
635;Spelvägen 37;Perstorp;District heating;67841434;ELV;12036112;CMi2110;07190000417100;NULL;NULL;OK;OK;+1
636;Spelvägen 35;Perstorp;District heating;67841454;ELV;12035367;CMi2110;07190000417055;NULL;NULL;OK;OK;+1
637;Spelvägen 20;Perstorp;District heating;67841425;ELV;12036137;CMi2110;07190000417076;NULL;NULL;OK;OK;+1
638;Spelvägen 01;Perstorp;District heating;67841447;ELV;12036128;CMi2110;07190000417084;NULL;NULL;OK;OK;+1
639;Stensmöllavägen 12;Perstorp;District heating;67841484;ELV;12036147;CMi2110;07190000417140;NULL;NULL;OK;OK;+1
640;Ekvägen 03;Perstorp;District heating;67841368;ELV;12035365;CMi2110;07190000417058;NULL;NULL;OK;OK;+1
641;Ekvägen 08;Perstorp;District heating;67970020;ELV;12037336;CMi2110;07190000426119;NULL;NULL;OK;OK;+1
642;Ekvägen 09;Perstorp;District heating;68139908;ELV;12051938;CMi2110;0037283021616;NULL;NULL;OK;OK;+1
644;Ekvägen 02;Perstorp;District heating;67970025;ELV;12037345;CMi2110;07190000426129;NULL;NULL;OK;OK;+1
645;Ringarevägen 23;Perstorp;District heating;67970049;ELV;12037367;CMi2110;07190000426152;NULL;NULL;OK;OK;+1
646;Fasanvägen 28;Perstorp;District heating;67970092;ELV;12037085;CMi2110;07190000426194;NULL;NULL;OK;OK;+1
647;Parkvägen 21;Perstorp;District heating;67970018;ELV;12037078;CMi2110;07190000426208;NULL;NULL;OK;OK;+1
648;Aspvägen 06;Perstorp;District heating;67970009;ELV;12037342;CMi2110;07190000426128;NULL;NULL;OK;OK;+1
649;Alvägen 21;Perstorp;District heating;67841377;ELV;12035381;CMi2110;07190000417039;NULL;NULL;OK;OK;+1
650;Perstorp Gymnasieskola;Perstorp;District heating;6894863;KAM;6021318;CMe2100;07190000494750;NULL;NULL;OK;OK;+1
651;Örnstigen 01;Perstorp;District heating;67841395;ELV;12035318;CMi2110;07190000417031;NULL;NULL;OK;OK;+1
652;Köpmangatan19;Perstorp;District heating;67606279;ELV;12031894;CMi2110;07190000355144;NULL;NULL;OK;OK;+1
